number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.1984,2026-02-01 13:39:17.582118,2026-02-01 13:39:39.720913,0 days 00:00:22.138795,0.00012296071107325708,0.2442758348604153,0.8575946831862098,0.7953540542751054,COMPLETE
1,0.2023,2026-02-01 13:39:39.722608,2026-02-01 13:40:01.519718,0 days 00:00:21.797110,0.0006074996073425694,0.170126601149665,0.8229470565333281,0.7144177335187193,COMPLETE
2,0.1792,2026-02-01 13:40:01.520485,2026-02-01 13:40:22.936870,0 days 00:00:21.416385,0.00011423254155608379,0.8102692764778066,0.6917207594128889,0.8879452686605056,COMPLETE
3,0.2391,2026-02-01 13:40:22.937637,2026-02-01 13:40:44.802613,0 days 00:00:21.864976,1.4936835544198446e-05,0.2582383413192156,0.9627983191463305,0.5348076685169646,COMPLETE
4,0.2618,2026-02-01 13:40:44.803519,2026-02-01 13:41:05.833895,0 days 00:00:21.030376,0.0005495716186411617,0.053008998935739245,0.916309922773969,0.8812968079654268,COMPLETE
5,0.2076,2026-02-01 13:41:05.834783,2026-02-01 13:41:26.976351,0 days 00:00:21.141568,0.0003639639356786391,0.8460629988647282,0.8995792821083618,0.7261248875039366,COMPLETE
6,0.2736,2026-02-01 13:41:26.977040,2026-02-01 13:41:48.533130,0 days 00:00:21.556090,0.0007750644796341915,0.07037795434688984,0.819960510663762,0.5702431108304328,COMPLETE
7,0.2348,2026-02-01 13:41:48.534251,2026-02-01 13:42:09.988616,0 days 00:00:21.454365,0.0003535634629148812,0.22596015005172593,0.7073309699952618,0.6296322499312672,COMPLETE
8,0.1912,2026-02-01 13:42:09.989493,2026-02-01 13:42:31.560735,0 days 00:00:21.571242,0.00017189806743319385,0.1868800641712296,0.7842169744343243,0.509207002213814,COMPLETE
9,0.2338,2026-02-01 13:42:31.561797,2026-02-01 13:42:53.146854,0 days 00:00:21.585057,0.00023101522250182374,0.29330329070680533,0.8084669984373785,0.9624365584721659,COMPLETE
10,0.1802,2026-02-01 13:42:53.147567,2026-02-01 13:43:14.712786,0 days 00:00:21.565219,2.9084270739486875e-05,0.05302678630838837,0.5609283996650235,0.6251970152697058,COMPLETE
11,0.2659,2026-02-01 13:43:14.713893,2026-02-01 13:43:36.305541,0 days 00:00:21.591648,0.0009319166655991638,0.054171335056419814,0.9947446421060218,0.8607307049440718,COMPLETE
12,0.2488,2026-02-01 13:43:36.306472,2026-02-01 13:43:57.924930,0 days 00:00:21.618458,0.0009165078170739006,0.10039616030996103,0.9969596088199151,0.8239681567900402,COMPLETE
