number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.8695833333333334,2026-02-03 01:46:20.207544,2026-02-03 01:46:41.940336,0 days 00:00:21.732792,1.2359890458751453e-05,0.14175974823937437,0.9143284572778689,0.9532337868570642,COMPLETE
1,0.86375,2026-02-03 01:46:41.947645,2026-02-03 01:47:03.625261,0 days 00:00:21.677616,0.0009353687477155571,0.09794454935533267,0.6742596847462816,0.8993335748914212,COMPLETE
2,0.8611666666666666,2026-02-03 01:47:03.628974,2026-02-03 01:47:25.387272,0 days 00:00:21.758298,0.0009638789298981805,0.8227985987966805,0.9524741727749635,0.6453125698813746,COMPLETE
3,0.8525,2026-02-03 01:47:25.391280,2026-02-03 01:47:46.881899,0 days 00:00:21.490619,2.929817110005398e-05,0.10281586274253778,0.5529530774411161,0.9659667794171432,COMPLETE
4,0.8565,2026-02-03 01:47:46.888812,2026-02-03 01:48:08.371257,0 days 00:00:21.482445,0.0005800166019699554,0.36712769058936495,0.5291781794902943,0.8580474585724633,COMPLETE
5,0.8569166666666667,2026-02-03 01:48:08.375454,2026-02-03 01:48:29.881692,0 days 00:00:21.506238,0.0003144680409059172,0.10988857676152347,0.6895284480387143,0.6834051298272489,COMPLETE
6,0.85275,2026-02-03 01:48:29.883220,2026-02-03 01:48:51.522057,0 days 00:00:21.638837,4.063842002688845e-05,0.09942209205936962,0.5859265495238215,0.7201529078569917,COMPLETE
7,0.8535833333333334,2026-02-03 01:48:51.523669,2026-02-03 01:49:13.020522,0 days 00:00:21.496853,0.0007676569733791507,0.5654328499472177,0.6188709130078194,0.7461708341697382,COMPLETE
8,0.88125,2026-02-03 01:49:13.027192,2026-02-03 01:49:35.212924,0 days 00:00:22.185732,0.00031734358511641245,0.3124711189546804,0.9336447027312325,0.9607027477838359,COMPLETE
9,0.8705833333333334,2026-02-03 01:49:35.219032,2026-02-03 01:49:57.915188,0 days 00:00:22.696156,8.010200102980597e-05,0.37768291788848646,0.9839827833021135,0.987256386927363,COMPLETE
10,0.84675,2026-02-03 01:49:57.922148,2026-02-03 01:50:20.396456,0 days 00:00:22.474308,0.00019826845539202482,0.058086491206171126,0.8281686900105877,0.5186174380745909,COMPLETE
11,0.8670833333333333,2026-02-03 01:50:20.400277,2026-02-03 01:50:42.979567,0 days 00:00:22.579290,0.00010095153608663402,0.29078159334710185,0.9916863544374463,0.8286886096761589,COMPLETE
12,0.8735833333333334,2026-02-03 01:50:42.982281,2026-02-03 01:51:05.420776,0 days 00:00:22.438495,0.00013773105830000942,0.221435529243454,0.8529488438081261,0.9882642044884822,COMPLETE
13,0.8683333333333333,2026-02-03 01:51:05.422494,2026-02-03 01:51:27.495399,0 days 00:00:22.072905,0.00023906713749257313,0.20926699964432638,0.8390304748387432,0.8117162014758247,COMPLETE
14,0.8710833333333333,2026-02-03 01:51:27.497106,2026-02-03 01:51:48.858657,0 days 00:00:21.361551,0.00011960358266656142,0.21873599476478436,0.8471424668055187,0.9040390815470888,COMPLETE
15,0.8655833333333334,2026-02-03 01:51:48.865223,2026-02-03 01:52:10.460690,0 days 00:00:21.595467,0.0003801413678472322,0.1806660616153827,0.7834557997792567,0.9097586636892456,COMPLETE
16,0.8673333333333333,2026-02-03 01:52:10.466516,2026-02-03 01:52:32.458630,0 days 00:00:21.992114,0.00017595264140541906,0.5072701508334825,0.8971249005165407,0.7771181980455615,COMPLETE
17,0.8509166666666667,2026-02-03 01:52:32.463031,2026-02-03 01:52:54.385621,0 days 00:00:21.922590,5.6727499062354025e-05,0.2822735807683745,0.7501703223558398,0.584593914644863,COMPLETE
18,0.86825,2026-02-03 01:52:54.392985,2026-02-03 01:53:16.110146,0 days 00:00:21.717161,0.00043348234504319975,0.058747418639534275,0.8943779414845812,0.9337952866544038,COMPLETE
19,0.8635,2026-02-03 01:53:16.116680,2026-02-03 01:53:38.089942,0 days 00:00:21.973262,0.0001469419738358247,0.5272241778826904,0.8002297602740314,0.8622950870825558,COMPLETE
20,0.8695,2026-02-03 01:53:38.092583,2026-02-03 01:54:00.028674,0 days 00:00:21.936091,1.5217186381653863e-05,0.15393892488841898,0.930809714325103,0.9790326357827324,COMPLETE
21,0.8709166666666667,2026-02-03 01:54:00.030272,2026-02-03 01:54:21.693168,0 days 00:00:21.662896,9.446254959839618e-05,0.2587564098154581,0.8648387639510766,0.8931358682489877,COMPLETE
22,0.8789166666666667,2026-02-03 01:54:21.698910,2026-02-03 01:54:43.268725,0 days 00:00:21.569815,0.00013803410423914362,0.21701864407492105,0.8591362521553763,0.9308594347040478,COMPLETE
23,0.8588333333333333,2026-02-03 01:54:43.272632,2026-02-03 01:55:05.044839,0 days 00:00:21.772207,0.00024550359994894593,0.37601341839322144,0.7316831812942285,0.9897042118644288,COMPLETE
