number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.7488333333333334,2026-02-02 12:05:10.207395,2026-02-02 12:05:38.340946,0 days 00:00:28.133551,0.00012296071107325708,0.2442758348604153,0.8575946831862098,0.7953540542751054,COMPLETE
1,0.71775,2026-02-02 12:05:38.343411,2026-02-02 12:06:05.204858,0 days 00:00:26.861447,0.0006074996073425694,0.170126601149665,0.8229470565333281,0.7144177335187193,COMPLETE
2,0.776,2026-02-02 12:06:05.206321,2026-02-02 12:06:32.554132,0 days 00:00:27.347811,0.00011423254155608379,0.8102692764778066,0.6917207594128889,0.8879452686605056,COMPLETE
3,0.70775,2026-02-02 12:06:32.555527,2026-02-02 12:07:00.127332,0 days 00:00:27.571805,1.4936835544198446e-05,0.2582383413192156,0.9627983191463305,0.5348076685169646,COMPLETE
4,0.75825,2026-02-02 12:07:00.128627,2026-02-02 12:07:27.397652,0 days 00:00:27.269025,0.0005495716186411617,0.053008998935739245,0.916309922773969,0.8812968079654268,COMPLETE
5,0.7203333333333334,2026-02-02 12:07:27.398946,2026-02-02 12:07:55.426140,0 days 00:00:28.027194,0.0003639639356786391,0.8460629988647282,0.8995792821083618,0.7261248875039366,COMPLETE
6,0.71,2026-02-02 12:07:55.427395,2026-02-02 12:08:23.121764,0 days 00:00:27.694369,0.0007750644796341915,0.07037795434688984,0.819960510663762,0.5702431108304328,COMPLETE
7,0.7215,2026-02-02 12:08:23.125242,2026-02-02 12:08:50.752458,0 days 00:00:27.627216,0.0003535634629148812,0.22596015005172593,0.7073309699952618,0.6296322499312672,COMPLETE
8,0.7053333333333334,2026-02-02 12:08:50.756748,2026-02-02 12:09:17.751818,0 days 00:00:26.995070,0.00017189806743319385,0.1868800641712296,0.7842169744343243,0.509207002213814,COMPLETE
9,0.8005,2026-02-02 12:09:17.752913,2026-02-02 12:09:44.623494,0 days 00:00:26.870581,0.00023101522250182374,0.29330329070680533,0.8084669984373785,0.9624365584721659,COMPLETE
10,0.7801666666666667,2026-02-02 12:09:44.627133,2026-02-02 12:10:11.804634,0 days 00:00:27.177501,2.9084270739486875e-05,0.4580725094877734,0.5562758250077435,0.9668613478214566,COMPLETE
11,0.7676666666666667,2026-02-02 12:10:11.806573,2026-02-02 12:10:38.838706,0 days 00:00:27.032133,3.527871609351631e-05,0.4185361572997395,0.534215854087472,0.9652487689140866,COMPLETE
12,0.8050833333333334,2026-02-02 12:10:38.840439,2026-02-02 12:11:05.487912,0 days 00:00:26.647473,4.1307885431519794e-05,0.4700933520631508,0.5806566451427511,0.9678652147092907,COMPLETE
13,0.74925,2026-02-02 12:11:05.489274,2026-02-02 12:11:32.801598,0 days 00:00:27.312324,5.0832881553125085e-05,0.48777302152160396,0.6275112148249588,0.8751269328361297,COMPLETE
14,0.7675,2026-02-02 12:11:32.805337,2026-02-02 12:12:00.685673,0 days 00:00:27.880336,6.60214276016988e-05,0.12518632743830688,0.6399947208658372,0.817320972026668,COMPLETE
15,0.76875,2026-02-02 12:12:00.686817,2026-02-02 12:12:27.623276,0 days 00:00:26.936459,1.0113005643955256e-05,0.3789766058328563,0.7422022739546554,0.9841953325921979,COMPLETE
16,0.78975,2026-02-02 12:12:27.629101,2026-02-02 12:12:54.637501,0 days 00:00:27.008400,0.00021531610014219413,0.6406866984633202,0.6261578463896372,0.9104245501720198,COMPLETE
17,0.7599166666666667,2026-02-02 12:12:54.642375,2026-02-02 12:13:21.655097,0 days 00:00:27.012722,7.284499060499535e-05,0.3201387170559734,0.5155956673344485,0.8123759520083877,COMPLETE
18,0.738,2026-02-02 12:13:21.657344,2026-02-02 12:13:48.707654,0 days 00:00:27.050310,2.5578476176903482e-05,0.13169898583094727,0.9902996285823225,0.9231211144871752,COMPLETE
19,0.7278333333333333,2026-02-02 12:13:48.708848,2026-02-02 12:14:15.827367,0 days 00:00:27.118519,0.0002261020260621694,0.5573550342863816,0.5797767249351686,0.6679116608056486,COMPLETE
20,0.7664166666666666,2026-02-02 12:14:15.831259,2026-02-02 12:14:43.221126,0 days 00:00:27.389867,5.005165774249757e-05,0.33632918679238955,0.7611140587220936,0.8380330323425851,COMPLETE
