number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.7415833333333334,2026-02-02 17:20:27.570368,2026-02-02 17:21:20.604458,0 days 00:00:53.034090,0.00024262985503685795,0.1253503487279734,0.707131497257335,0.5314322732109044,COMPLETE
1,0.7588333333333334,2026-02-02 17:21:20.607591,2026-02-02 17:22:14.502532,0 days 00:00:53.894941,1.5412781495004114e-05,0.25716344272071884,0.6326947454697227,0.7563915461986828,COMPLETE
2,0.72025,2026-02-02 17:22:14.505513,2026-02-02 17:23:07.822521,0 days 00:00:53.317008,0.00021618261203953774,0.26420425316672436,0.964648098788107,0.6560987867011486,COMPLETE
3,0.7426666666666667,2026-02-02 17:23:07.825246,2026-02-02 17:24:00.971595,0 days 00:00:53.146349,2.324784621061443e-05,0.07318334184699027,0.8581636020592828,0.6418089855441286,COMPLETE
4,0.7893333333333333,2026-02-02 17:24:00.973463,2026-02-02 17:24:54.368082,0 days 00:00:53.394619,1.0218589483781247e-05,0.27239778092113837,0.5100537730937468,0.9061806143165079,COMPLETE
5,0.767,2026-02-02 17:24:54.373210,2026-02-02 17:25:47.276447,0 days 00:00:52.903237,0.0008401891913442231,0.3546618429439189,0.6350039865960824,0.8602450708400715,COMPLETE
6,0.7591666666666667,2026-02-02 17:25:47.281091,2026-02-02 17:26:40.153936,0 days 00:00:52.872845,0.00013947738988072796,0.10261786764344176,0.7880786672089184,0.7901005463232011,COMPLETE
7,0.7336666666666667,2026-02-02 17:26:40.156063,2026-02-02 17:27:34.457620,0 days 00:00:54.301557,0.0004929664291135948,0.0952792311955382,0.9763745057584925,0.7190914355226374,COMPLETE
8,0.7841666666666667,2026-02-02 17:27:34.463300,2026-02-02 17:28:28.731708,0 days 00:00:54.268408,6.208854487201745e-05,0.37757836933844424,0.6487184754275668,0.8987609316542138,COMPLETE
9,0.7741666666666667,2026-02-02 17:28:28.734948,2026-02-02 17:29:22.455411,0 days 00:00:53.720463,0.0002426963138379089,0.6382555821772107,0.7906364363179293,0.9320503273088778,COMPLETE
10,0.7900833333333334,2026-02-02 17:29:22.460251,2026-02-02 17:30:15.637830,0 days 00:00:53.177579,4.330537527331267e-05,0.7904163159524775,0.5015279944755275,0.9899060859617193,COMPLETE
11,0.7888333333333334,2026-02-02 17:30:15.639729,2026-02-02 17:31:09.848268,0 days 00:00:54.208539,4.1147540367470135e-05,0.873769675921328,0.5181051805865421,0.9781819378532799,COMPLETE
12,0.78825,2026-02-02 17:31:09.849993,2026-02-02 17:32:03.187618,0 days 00:00:53.337625,1.224782856184806e-05,0.526674798988761,0.5070128494670016,0.9856948315242408,COMPLETE
13,0.7933333333333333,2026-02-02 17:32:03.192371,2026-02-02 17:32:56.203998,0 days 00:00:53.011627,3.140139073983277e-05,0.17008926355310858,0.5575590890353788,0.8386779388357997,COMPLETE
14,0.7855,2026-02-02 17:32:56.208479,2026-02-02 17:33:50.027351,0 days 00:00:53.818872,3.713066248673792e-05,0.158159287631796,0.578299001150403,0.8059058674440037,COMPLETE
15,0.7745833333333333,2026-02-02 17:33:50.033770,2026-02-02 17:34:44.180872,0 days 00:00:54.147102,8.02278481360195e-05,0.05158252724907274,0.5782165853684758,0.8498205259319118,COMPLETE
16,0.7551666666666667,2026-02-02 17:34:44.184247,2026-02-02 17:35:37.712047,0 days 00:00:53.527800,2.709904866432341e-05,0.17784779251606223,0.5734387893898267,0.6970118601562713,COMPLETE
17,0.7465833333333334,2026-02-02 17:35:37.713662,2026-02-02 17:36:30.947405,0 days 00:00:53.233743,5.5761493669125385e-05,0.46229628834662273,0.7057735317708682,0.5457156350557995,COMPLETE
18,0.766,2026-02-02 17:36:30.950812,2026-02-02 17:37:23.940237,0 days 00:00:52.989425,0.00012153772985345927,0.8577939139055283,0.548159142702335,0.8373156475968575,COMPLETE
19,0.78725,2026-02-02 17:37:23.943329,2026-02-02 17:38:17.683239,0 days 00:00:53.739910,2.0297049029087843e-05,0.19097810932050296,0.6912798732396719,0.9392844918628985,COMPLETE
20,0.7714166666666666,2026-02-02 17:38:17.686671,2026-02-02 17:39:11.014822,0 days 00:00:53.328151,4.080831061208806e-05,0.1372046892410662,0.8766750147501534,0.889805195139737,COMPLETE
21,0.7905,2026-02-02 17:39:11.016470,2026-02-02 17:40:03.865608,0 days 00:00:52.849138,1.0593640215990556e-05,0.24998963397849103,0.5089409600342407,0.9461370442460274,COMPLETE
