number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.2665,2026-02-03 11:25:37.295627,2026-02-03 11:26:11.074696,0 days 00:00:33.779069,1.0628542549908021e-05,0.11662463859049296,0.924471777656459,0.8027595790395867,COMPLETE
1,0.19,2026-02-03 11:26:11.080544,2026-02-03 11:26:44.950549,0 days 00:00:33.870005,9.051918062311638e-05,0.13640889543122706,0.5740704304740825,0.981096401010944,COMPLETE
2,0.266,2026-02-03 11:26:44.958003,2026-02-03 11:27:18.706013,0 days 00:00:33.748010,1.8784539089160836e-05,0.21053858982121632,0.8197362581993618,0.6806064570035126,COMPLETE
3,0.2032,2026-02-03 11:27:18.713163,2026-02-03 11:27:51.731365,0 days 00:00:33.018202,2.809532484957889e-05,0.5382100347386869,0.594923955951379,0.7505463014477635,COMPLETE
4,0.2858,2026-02-03 11:27:51.733901,2026-02-03 11:28:25.318298,0 days 00:00:33.584397,0.0008349670090661036,0.06634244842615301,0.9310957587108417,0.9767305496213339,COMPLETE
5,0.2645,2026-02-03 11:28:25.324386,2026-02-03 11:28:58.832160,0 days 00:00:33.507774,1.4527897931715698e-05,0.6869801632439371,0.8870236663493194,0.6632411244940346,COMPLETE
6,0.2362,2026-02-03 11:28:58.837775,2026-02-03 11:29:32.843165,0 days 00:00:34.005390,1.278952348019989e-05,0.16224400178532092,0.6161170710854713,0.5649189410314117,COMPLETE
7,0.1405,2026-02-03 11:29:32.847792,2026-02-03 11:30:06.398049,0 days 00:00:33.550257,1.9674028256453585e-05,0.4071820828590835,0.5057137293125156,0.8775845667663604,COMPLETE
8,0.2245,2026-02-03 11:30:06.403015,2026-02-03 11:30:39.578248,0 days 00:00:33.175233,3.0955257406018576e-05,0.06292045987615312,0.5448015171193027,0.8293034256034181,COMPLETE
9,0.1503,2026-02-03 11:30:39.582005,2026-02-03 11:31:13.044636,0 days 00:00:33.462631,0.0002845040973870006,0.16860157767062955,0.7786843956619585,0.9216700751761089,COMPLETE
10,0.3025,2026-02-03 11:31:13.049999,2026-02-03 11:31:47.308872,0 days 00:00:34.258873,0.000806257627314271,0.05198018072919023,0.9905774356367963,0.965719364117736,COMPLETE
11,0.1835,2026-02-03 11:31:47.310608,2026-02-03 11:32:21.222265,0 days 00:00:33.911657,0.0009948285339793396,0.05186436034805955,0.9967222060799523,0.986663703868428,COMPLETE
12,0.151,2026-02-03 11:32:21.226964,2026-02-03 11:32:54.628295,0 days 00:00:33.401331,0.0008310357331444678,0.08746048168011784,0.9944091914132626,0.9143104162133805,COMPLETE
13,0.1451,2026-02-03 11:32:54.633894,2026-02-03 11:33:28.104139,0 days 00:00:33.470245,0.0003668267138875834,0.07756103633949757,0.6942646212769565,0.8586291902694593,COMPLETE
14,0.2198,2026-02-03 11:33:28.109290,2026-02-03 11:34:01.824211,0 days 00:00:33.714921,0.0003977725327797173,0.29927855486315086,0.889731667936574,0.506750226780677,COMPLETE
15,0.211,2026-02-03 11:34:01.829584,2026-02-03 11:34:35.140162,0 days 00:00:33.310578,0.00014785277163264875,0.09427788948835014,0.9347141745454092,0.9356268637488053,COMPLETE
16,0.2146,2026-02-03 11:34:35.145597,2026-02-03 11:35:08.538549,0 days 00:00:33.392952,0.0006298924922071906,0.052296352940318994,0.8259072971892494,0.7925615323526254,COMPLETE
17,0.2363,2026-02-03 11:35:08.543549,2026-02-03 11:35:41.685285,0 days 00:00:33.141736,0.00015845451854968964,0.07453849488388054,0.6860387705662344,0.6966341527397221,COMPLETE
18,0.2387,2026-02-03 11:35:41.690028,2026-02-03 11:36:15.364689,0 days 00:00:33.674661,5.882255771369853e-05,0.11625325192184008,0.9548136723071086,0.9889475515566541,COMPLETE
19,0.2535,2026-02-03 11:36:15.369989,2026-02-03 11:36:48.754084,0 days 00:00:33.384095,0.0005717922081626266,0.31963057289766944,0.8633288413957605,0.8897395061830681,COMPLETE
20,0.2256,2026-02-03 11:36:48.759411,2026-02-03 11:37:22.111276,0 days 00:00:33.351865,0.000246314289869889,0.06719313260020233,0.7306178874576903,0.9476416783184592,COMPLETE
21,0.2583,2026-02-03 11:37:22.116979,2026-02-03 11:37:56.030769,0 days 00:00:33.913790,7.34592395252957e-05,0.11998998016002979,0.9305069401492858,0.7975259503227642,COMPLETE
22,0.0954,2026-02-03 11:37:56.038352,2026-02-03 11:38:29.164666,0 days 00:00:33.126314,4.4582859000596105e-05,0.0996010572876896,0.9593298576521168,0.8405232996836846,COMPLETE
23,0.1981,2026-02-03 11:38:29.169218,2026-02-03 11:39:02.726187,0 days 00:00:33.556969,0.0001965040176308752,0.05057909861658134,0.9094726814838209,0.623971914265268,COMPLETE
24,0.1655,2026-02-03 11:39:02.732378,2026-02-03 11:39:36.830936,0 days 00:00:34.098558,0.0005479139805748454,0.06481404452866882,0.847149844815061,0.7388011161314356,COMPLETE
25,0.2017,2026-02-03 11:39:36.836714,2026-02-03 11:40:10.353712,0 days 00:00:33.516998,0.0001209777690229896,0.10491930698275968,0.9665247477881342,0.892562311419332,COMPLETE
26,0.2205,2026-02-03 11:40:10.359486,2026-02-03 11:40:43.667567,0 days 00:00:33.308081,1.0259738435205276e-05,0.15029371912630218,0.799699709376538,0.9561976539500103,COMPLETE
27,0.3014,2026-02-03 11:40:43.673744,2026-02-03 11:41:17.219508,0 days 00:00:33.545764,0.0004085805974715024,0.07983751685505638,0.9047044451544379,0.8023567746698358,COMPLETE
28,0.2732,2026-02-03 11:41:17.224629,2026-02-03 11:41:51.470831,0 days 00:00:34.246202,0.0007590397375548913,0.08083901630977891,0.8706051773573077,0.7366893954057492,COMPLETE
