number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.3993,2026-02-03 17:31:23.396759,2026-02-03 17:32:25.087443,0 days 00:01:01.690684,1.0628542549908021e-05,0.11662463859049296,0.924471777656459,0.8027595790395867,COMPLETE
1,0.4093,2026-02-03 17:32:25.093088,2026-02-03 17:33:28.539373,0 days 00:01:03.446285,9.051918062311638e-05,0.13640889543122706,0.5740704304740825,0.981096401010944,COMPLETE
2,0.3867,2026-02-03 17:33:28.544227,2026-02-03 17:34:31.757803,0 days 00:01:03.213576,1.8784539089160836e-05,0.21053858982121632,0.8197362581993618,0.6806064570035126,COMPLETE
3,0.3965,2026-02-03 17:34:31.759398,2026-02-03 17:35:35.276006,0 days 00:01:03.516608,2.809532484957889e-05,0.5382100347386869,0.594923955951379,0.7505463014477635,COMPLETE
4,0.3967,2026-02-03 17:35:35.278221,2026-02-03 17:36:38.146285,0 days 00:01:02.868064,0.0008349670090661036,0.06634244842615301,0.9310957587108417,0.9767305496213339,COMPLETE
5,0.3915,2026-02-03 17:36:38.152085,2026-02-03 17:37:41.335194,0 days 00:01:03.183109,1.4527897931715698e-05,0.6869801632439371,0.8870236663493194,0.6632411244940346,COMPLETE
6,0.3064,2026-02-03 17:37:41.341211,2026-02-03 17:38:43.815026,0 days 00:01:02.473815,1.278952348019989e-05,0.16224400178532092,0.6161170710854713,0.5649189410314117,COMPLETE
7,0.4072,2026-02-03 17:38:43.820681,2026-02-03 17:39:46.813506,0 days 00:01:02.992825,1.9674028256453585e-05,0.4071820828590835,0.5057137293125156,0.8775845667663604,COMPLETE
8,0.3961,2026-02-03 17:39:46.816042,2026-02-03 17:40:49.655519,0 days 00:01:02.839477,3.0955257406018576e-05,0.06292045987615312,0.5448015171193027,0.8293034256034181,COMPLETE
9,0.3958,2026-02-03 17:40:49.661142,2026-02-03 17:41:53.458280,0 days 00:01:03.797138,0.0002845040973870006,0.16860157767062955,0.7786843956619585,0.9216700751761089,COMPLETE
10,0.4058,2026-02-03 17:41:53.461290,2026-02-03 17:42:56.284324,0 days 00:01:02.823034,0.00010311677030039679,0.2844628089647852,0.6802127159705245,0.9656905921371952,COMPLETE
11,0.4081,2026-02-03 17:42:56.285944,2026-02-03 17:43:59.962725,0 days 00:01:03.676781,7.061129037894499e-05,0.3677480113585873,0.5045829957536185,0.8690797347894454,COMPLETE
12,0.4071,2026-02-03 17:43:59.966370,2026-02-03 17:45:03.165553,0 days 00:01:03.199183,8.776309265994712e-05,0.32756197933518477,0.6749660270713808,0.8743195895178948,COMPLETE
13,0.414,2026-02-03 17:45:03.172605,2026-02-03 17:46:05.717227,0 days 00:01:02.544622,7.401688580605663e-05,0.10790151533754304,0.5041448165421554,0.9113230234004299,COMPLETE
14,0.4019,2026-02-03 17:46:05.723615,2026-02-03 17:47:08.619100,0 days 00:01:02.895485,0.0001800330093733477,0.10993256685091668,0.6020144329526854,0.9631663181955071,COMPLETE
15,0.3828,2026-02-03 17:47:08.625227,2026-02-03 17:48:11.929805,0 days 00:01:03.304578,5.065834758694623e-05,0.09992189502307885,0.689343239383113,0.9126404497221033,COMPLETE
16,0.362,2026-02-03 17:48:11.935483,2026-02-03 17:49:15.156830,0 days 00:01:03.221347,0.0001854275268764021,0.08374941236524633,0.5733587157789307,0.5270539854615354,COMPLETE
17,0.387,2026-02-03 17:49:15.162360,2026-02-03 17:50:18.530756,0 days 00:01:03.368396,0.00036309935280615503,0.05295341109232047,0.6523899453683636,0.7849792819954634,COMPLETE
18,0.4007,2026-02-03 17:50:18.535907,2026-02-03 17:51:21.530556,0 days 00:01:02.994649,4.595032979091057e-05,0.1431334395083368,0.7342958127150891,0.9888706204138793,COMPLETE
19,0.3896,2026-02-03 17:51:21.533669,2026-02-03 17:52:24.821923,0 days 00:01:03.288254,0.0001432106055569123,0.23062989653231927,0.5490550373416028,0.6967214281454798,COMPLETE
20,0.4021,2026-02-03 17:52:24.828993,2026-02-03 17:53:27.985799,0 days 00:01:03.156806,0.0007083362674189618,0.08542279740224033,0.9795250770594808,0.9220947853838546,COMPLETE
21,0.399,2026-02-03 17:53:27.992432,2026-02-03 17:54:31.664290,0 days 00:01:03.671858,6.635496885140201e-05,0.4331007230991818,0.5115164458886968,0.8542291429672341,COMPLETE
22,0.4,2026-02-03 17:54:31.669940,2026-02-03 17:55:35.314520,0 days 00:01:03.644580,9.86209671612544e-05,0.19506405428891307,0.5033518290847894,0.9051095053092305,COMPLETE
23,0.4007,2026-02-03 17:55:35.320454,2026-02-03 17:56:38.023905,0 days 00:01:02.703451,4.69873247795727e-05,0.1362749487126044,0.5520317671683417,0.8270626241943075,COMPLETE
24,0.399,2026-02-03 17:56:38.029972,2026-02-03 17:57:42.276077,0 days 00:01:04.246105,7.031184213248789e-05,0.8654907353544857,0.6325993082118874,0.9350402431750552,COMPLETE
25,0.3982,2026-02-03 17:57:42.280809,2026-02-03 17:58:49.157522,0 days 00:01:06.876713,0.00014414153366018598,0.2738032875402199,0.5380641255924581,0.8721693742399657,COMPLETE
26,0.393,2026-02-03 17:58:49.162956,2026-02-03 17:59:56.753612,0 days 00:01:07.590656,3.7859494264761346e-05,0.34768452647474335,0.5749712399266234,0.7613808736597244,COMPLETE
27,0.409,2026-02-03 17:59:56.760936,2026-02-03 18:01:03.544237,0 days 00:01:06.783301,0.0002955277350070247,0.08552959837498317,0.7221973419171306,0.9432562352990385,COMPLETE
28,0.4,2026-02-03 18:01:03.550700,2026-02-03 18:02:08.696473,0 days 00:01:05.145773,0.0003266507555275266,0.07966276331568038,0.7498948646860971,0.947222019588177,COMPLETE
29,0.3133,2026-02-03 18:02:08.706985,2026-02-03 18:03:14.395052,0 days 00:01:05.688067,0.00048667216953747526,0.12388935874281189,0.8302837220195473,0.6046881131693458,COMPLETE
