number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.394,2026-02-06 12:36:57.211789,2026-02-06 12:37:00.455989,0 days 00:00:03.244200,1.0628542549908021e-05,0.11662463859049296,0.924471777656459,0.8027595790395867,COMPLETE
1,0.363,2026-02-06 12:37:00.458607,2026-02-06 12:37:03.661255,0 days 00:00:03.202648,9.051918062311638e-05,0.13640889543122706,0.5740704304740825,0.981096401010944,COMPLETE
2,0.369,2026-02-06 12:37:03.663818,2026-02-06 12:37:06.880877,0 days 00:00:03.217059,1.8784539089160836e-05,0.21053858982121632,0.8197362581993618,0.6806064570035126,COMPLETE
3,0.392,2026-02-06 12:37:06.883122,2026-02-06 12:37:10.063690,0 days 00:00:03.180568,2.809532484957889e-05,0.5382100347386869,0.594923955951379,0.7505463014477635,COMPLETE
4,0.373,2026-02-06 12:37:10.064928,2026-02-06 12:37:13.248743,0 days 00:00:03.183815,0.0008349670090661036,0.06634244842615301,0.9310957587108417,0.9767305496213339,COMPLETE
5,0.374,2026-02-06 12:37:13.251122,2026-02-06 12:37:16.433586,0 days 00:00:03.182464,1.4527897931715698e-05,0.6869801632439371,0.8870236663493194,0.6632411244940346,COMPLETE
6,0.37,2026-02-06 12:37:16.435104,2026-02-06 12:37:19.607308,0 days 00:00:03.172204,1.278952348019989e-05,0.16224400178532092,0.6161170710854713,0.5649189410314117,COMPLETE
7,0.386,2026-02-06 12:37:19.608726,2026-02-06 12:37:22.762895,0 days 00:00:03.154169,1.9674028256453585e-05,0.4071820828590835,0.5057137293125156,0.8775845667663604,COMPLETE
8,0.384,2026-02-06 12:37:22.764853,2026-02-06 12:37:26.462337,0 days 00:00:03.697484,3.0955257406018576e-05,0.06292045987615312,0.5448015171193027,0.8293034256034181,COMPLETE
9,0.398,2026-02-06 12:37:26.463836,2026-02-06 12:37:28.845195,0 days 00:00:02.381359,0.0002845040973870006,0.16860157767062955,0.7786843956619585,0.9216700751761089,COMPLETE
10,0.384,2026-02-06 12:37:28.846292,2026-02-06 12:37:30.772158,0 days 00:00:01.925866,0.0005353655490541876,0.3271086029733474,0.717016390600775,0.9040184798946429,COMPLETE
11,0.381,2026-02-06 12:37:30.773754,2026-02-06 12:37:32.705228,0 days 00:00:01.931474,0.00022076233723499088,0.11126160537425418,0.9967222060799523,0.7932022052282999,COMPLETE
12,0.391,2026-02-06 12:37:32.708423,2026-02-06 12:37:35.603419,0 days 00:00:02.894996,9.461520467179395e-05,0.08746048168011784,0.7449251514113652,0.8941512562128363,COMPLETE
