number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.357,2026-02-06 15:29:45.982488,2026-02-06 15:30:04.252648,0 days 00:00:18.270160,0.0005540787181959424,0.29906492346663033,0.5667307354674672,0.9804842650657684,COMPLETE
1,0.328,2026-02-06 15:30:04.256859,2026-02-06 15:30:20.739381,0 days 00:00:16.482522,0.0007024446930675156,0.21380681967874882,0.9611739908983166,0.7652765889409965,COMPLETE
2,0.341,2026-02-06 15:30:20.743480,2026-02-06 15:30:37.511182,0 days 00:00:16.767702,1.1805044672163632e-05,0.5504493372999818,0.9841432051471486,0.9506935772812977,COMPLETE
3,0.342,2026-02-06 15:30:37.515486,2026-02-06 15:30:54.110707,0 days 00:00:16.595221,3.981601936422029e-05,0.08286220689583033,0.6945673385505928,0.9665499216747562,COMPLETE
4,0.328,2026-02-06 15:30:54.114214,2026-02-06 15:31:10.648355,0 days 00:00:16.534141,0.0006542612344132976,0.07950613204895789,0.94315233304328,0.7187332635867694,COMPLETE
5,0.339,2026-02-06 15:31:10.651533,2026-02-06 15:31:27.596405,0 days 00:00:16.944872,1.4222421260364838e-05,0.07945164678132363,0.8305587557540497,0.715729238886451,COMPLETE
6,0.325,2026-02-06 15:31:27.601488,2026-02-06 15:31:46.886881,0 days 00:00:19.285393,1.3179186279248918e-05,0.3743010458843335,0.6236993777695768,0.5194116060639636,COMPLETE
7,0.312,2026-02-06 15:31:46.890502,2026-02-06 15:32:06.523013,0 days 00:00:19.632511,0.0006253522466352017,0.05965408827883254,0.9538664787425197,0.8625431197362594,COMPLETE
8,0.33,2026-02-06 15:32:06.528093,2026-02-06 15:32:24.047590,0 days 00:00:17.519497,0.0009906597145736683,0.34933659844403514,0.7644699645154416,0.6491787185302154,COMPLETE
9,0.323,2026-02-06 15:32:24.050986,2026-02-06 15:32:40.529447,0 days 00:00:16.478461,0.0009100261217713625,0.14243475460057006,0.7353244746069547,0.6853401357124963,COMPLETE
10,0.333,2026-02-06 15:32:40.532295,2026-02-06 15:32:57.973990,0 days 00:00:17.441695,0.0002361214485204288,0.7720567838907839,0.5329458705569801,0.8396337252552262,COMPLETE
11,0.346,2026-02-06 15:32:57.976746,2026-02-06 15:33:15.467517,0 days 00:00:17.490771,4.9590747146960184e-05,0.1516239541743371,0.6127933255332486,0.9628309339177592,COMPLETE
12,0.339,2026-02-06 15:33:15.470454,2026-02-06 15:33:33.330075,0 days 00:00:17.859621,9.691455996213448e-05,0.18995403162593313,0.5037470321889177,0.9093402793826754,COMPLETE
13,0.333,2026-02-06 15:33:33.333753,2026-02-06 15:33:51.193299,0 days 00:00:17.859546,6.758148865155276e-05,0.13944502694967284,0.5847088674739225,0.9709346770235994,COMPLETE
14,0.336,2026-02-06 15:33:51.196607,2026-02-06 15:34:09.541971,0 days 00:00:18.345364,0.00020723275574642918,0.30741287549680785,0.6145026857391283,0.8209917259696604,COMPLETE
