number,value,datetime_start,datetime_complete,duration,params_beta,params_connectivity,params_leaky,params_spectral_radius,state
0,0.356,2026-02-07 11:12:31.306432,2026-02-07 11:12:36.637513,0 days 00:00:05.331081,1.0628542549908021e-05,0.11662463859049296,0.924471777656459,0.8027595790395867,COMPLETE
1,0.356,2026-02-07 11:12:36.642402,2026-02-07 11:12:41.830576,0 days 00:00:05.188174,9.051918062311638e-05,0.13640889543122706,0.5740704304740825,0.981096401010944,COMPLETE
2,0.329,2026-02-07 11:12:41.835559,2026-02-07 11:12:47.157310,0 days 00:00:05.321751,1.8784539089160836e-05,0.21053858982121632,0.8197362581993618,0.6806064570035126,COMPLETE
3,0.34,2026-02-07 11:12:47.162450,2026-02-07 11:12:52.466464,0 days 00:00:05.304014,2.809532484957889e-05,0.5382100347386869,0.594923955951379,0.7505463014477635,COMPLETE
4,0.344,2026-02-07 11:12:52.471226,2026-02-07 11:12:57.651290,0 days 00:00:05.180064,0.0008349670090661036,0.06634244842615301,0.9310957587108417,0.9767305496213339,COMPLETE
5,0.337,2026-02-07 11:12:57.656573,2026-02-07 11:13:03.006988,0 days 00:00:05.350415,1.4527897931715698e-05,0.6869801632439371,0.8870236663493194,0.6632411244940346,COMPLETE
6,0.318,2026-02-07 11:13:03.011845,2026-02-07 11:13:08.228992,0 days 00:00:05.217147,1.278952348019989e-05,0.16224400178532092,0.6161170710854713,0.5649189410314117,COMPLETE
7,0.345,2026-02-07 11:13:08.233868,2026-02-07 11:13:13.609994,0 days 00:00:05.376126,1.9674028256453585e-05,0.4071820828590835,0.5057137293125156,0.8775845667663604,COMPLETE
8,0.333,2026-02-07 11:13:13.615324,2026-02-07 11:13:19.183424,0 days 00:00:05.568100,3.0955257406018576e-05,0.06292045987615312,0.5448015171193027,0.8293034256034181,COMPLETE
9,0.336,2026-02-07 11:13:19.186263,2026-02-07 11:13:24.552544,0 days 00:00:05.366281,0.0002845040973870006,0.16860157767062955,0.7786843956619585,0.9216700751761089,COMPLETE
10,0.333,2026-02-07 11:13:24.557277,2026-02-07 11:13:29.832478,0 days 00:00:05.275201,9.174392710018832e-05,0.09758599823096224,0.9904489160026873,0.7861873498294676,COMPLETE
